Column1,FormNumber,Question,Cluster,Topic_Keywords,Topic_Headline
1216,712,LIC Directors' demonstration of respect for students is,1,"demonstration, respect, students, instructor, instructors",Topic: Demonstration Respect Students
1623,992,The instructor demonstrated respect for students.,1,"demonstration, respect, students, instructor, instructors",Topic: Demonstration Respect Students
641,35,The course activities helped me meet course objectives.,2,"helped, materials, activities, assignments, facilitate",Topic: Helped Materials Activities
651,35,The reading assignments helped me meet the course objectives.,2,"helped, materials, activities, assignments, facilitate",Topic: Helped Materials Activities
652,35,The required course materials helped me meet course objectives.,2,"helped, materials, activities, assignments, facilitate",Topic: Helped Materials Activities
798,70,"In-class course materials, assignments, and activities helped facilitate my learning.",2,"helped, materials, activities, assignments, facilitate",Topic: Helped Materials Activities
800,70,"Out-of-class supplemental course materials, assignments, activities, and resources helped facilitate my learning.",2,"helped, materials, activities, assignments, facilitate",Topic: Helped Materials Activities
84,3, The instructor seemed well prepared for classes,3,"prepared, instructor, class, organized, classes",Topic: Prepared Instructor Class
126,4, The instructor was well prepared,3,"prepared, instructor, class, organized, classes",Topic: Prepared Instructor Class
190,6,The instructor seemed well prepared for classes.,3,"prepared, instructor, class, organized, classes",Topic: Prepared Instructor Class
220,7,The prerequisite courses prepared me for the material in this course.,3,"prepared, instructor, class, organized, classes",Topic: Prepared Instructor Class
245,8,The instructor was well prepared for regular class meetings. ,3,"prepared, instructor, class, organized, classes",Topic: Prepared Instructor Class
246,8,The instructor was well prepared for the lab.,3,"prepared, instructor, class, organized, classes",Topic: Prepared Instructor Class
277,9,The instructor was well prepared for class.,3,"prepared, instructor, class, organized, classes",Topic: Prepared Instructor Class
298,10,The instructor was well prepared.,3,"prepared, instructor, class, organized, classes",Topic: Prepared Instructor Class
320,11,The instructor was prepared.,3,"prepared, instructor, class, organized, classes",Topic: Prepared Instructor Class
397,14,The instructor was prepared for class.,3,"prepared, instructor, class, organized, classes",Topic: Prepared Instructor Class
600,33,The instructor was well prepared and well organized.,3,"prepared, instructor, class, organized, classes",Topic: Prepared Instructor Class
785,64,The facilitator is consistently well prepared and organized for class.,3,"prepared, instructor, class, organized, classes",Topic: Prepared Instructor Class
811,70,The instructor was well-organized and prepared.,3,"prepared, instructor, class, organized, classes",Topic: Prepared Instructor Class
924,222,TA was prepared for the class.,3,"prepared, instructor, class, organized, classes",Topic: Prepared Instructor Class
978,521,The instructor was well prepared for class,3,"prepared, instructor, class, organized, classes",Topic: Prepared Instructor Class
997,522,The instructor was well prepared for the course,3,"prepared, instructor, class, organized, classes",Topic: Prepared Instructor Class
1015,523,The instructor was well prepared for the study abroad experience,3,"prepared, instructor, class, organized, classes",Topic: Prepared Instructor Class
29,1,This instructor's availability for individual assistance is,4,"availability, individual, assistance, instructor, instructors",Topic: Availability Individual Assistance
60,2, This instructor's availability for individual assistance is,4,"availability, individual, assistance, instructor, instructors",Topic: Availability Individual Assistance
174,5,This instructor’s availability for individual assistance is,4,"availability, individual, assistance, instructor, instructors",Topic: Availability Individual Assistance
431,16,This instructors availability for individual assistance is,4,"availability, individual, assistance, instructor, instructors",Topic: Availability Individual Assistance
586,24,The instructor's availability for individual assistance is:,4,"availability, individual, assistance, instructor, instructors",Topic: Availability Individual Assistance
1217,712,LIC Directors’ availability for individual assistance is,4,"availability, individual, assistance, instructor, instructors",Topic: Availability Individual Assistance
85,3, The instructor was accessible for student conferences about this course,5,"accessible, concerns, address, course, student",Topic: Accessible Concerns Address
191,6,The instructor was accessible for student conferences about the course.,5,"accessible, concerns, address, course, student",Topic: Accessible Concerns Address
1152,709,"Clerkship leadership (site director, clerkship director, LIC director, etc.) was accessible and responsive to student problems encountered during this clerkship.",5,"accessible, concerns, address, course, student",Topic: Accessible Concerns Address
1317,718,Course director(s) was/were accessible to address student concerns during the course.,5,"accessible, concerns, address, course, student",Topic: Accessible Concerns Address
1319,718,Course support staff (Office of Medical Education and course coordinators) were accessible to address student concerns during the course.,5,"accessible, concerns, address, course, student",Topic: Accessible Concerns Address
1542,728,The course director was accessible and responsive to student problems encountered during this course.,5,"accessible, concerns, address, course, student",Topic: Accessible Concerns Address
1099,706,Are you aware that the University of Houston College of Medicine has policies regarding the mistreatment of medical students?,6,"medicine, mistreatment, college, houston, university",Topic: Medicine Mistreatment College
1100,706,Do you know the procedures at the University of Houston College of Medicine for reporting the mistreatment of medical students?,6,"medicine, mistreatment, college, houston, university",Topic: Medicine Mistreatment College
805,70,The amount and quality of faculty/staff support were sufficient for course activities.,7,"support, sufficient, activities, quality, resources",Topic: Support Sufficient Activities
807,70,The amount and quality of IT resources and support were sufficient for course activities.,7,"support, sufficient, activities, quality, resources",Topic: Support Sufficient Activities
47,2, The instructor presented the subject matter for this course clearly by using effective teaching techniques ,8,"effective, teacher, instructor, teaching, matter",Topic: Effective Teacher Instructor
50,2, The instructor was an effective teacher compared to other instructors,8,"effective, teacher, instructor, teaching, matter",Topic: Effective Teacher Instructor
78,3," Overall, the instructor was an effective teacher",8,"effective, teacher, instructor, teaching, matter",Topic: Effective Teacher Instructor
124,4, The instructor was effective in helping me think critically about the subject matter,8,"effective, teacher, instructor, teaching, matter",Topic: Effective Teacher Instructor
159,5,The instructor is an effective teacher.,8,"effective, teacher, instructor, teaching, matter",Topic: Effective Teacher Instructor
183,6,"Overall, the instructor was an effective teacher.",8,"effective, teacher, instructor, teaching, matter",Topic: Effective Teacher Instructor
207,7,"Based on what I have seen in this class, I believe this instructor is an effective educator.",8,"effective, teacher, instructor, teaching, matter",Topic: Effective Teacher Instructor
242,8,The instructor was an effective teacher.,8,"effective, teacher, instructor, teaching, matter",Topic: Effective Teacher Instructor
290,10,How could the instructor improve as a teacher?,8,"effective, teacher, instructor, teaching, matter",Topic: Effective Teacher Instructor
296,10,The instructor was effective in helping me think critically about the subject matter.,8,"effective, teacher, instructor, teaching, matter",Topic: Effective Teacher Instructor
534,21,The assistant is an effective instructor.,8,"effective, teacher, instructor, teaching, matter",Topic: Effective Teacher Instructor
584,24,The instructor was effective in communicating information.,8,"effective, teacher, instructor, teaching, matter",Topic: Effective Teacher Instructor
763,52,The instructor presented the subject matter for this course clearly by using effective teaching techniques.,8,"effective, teacher, instructor, teaching, matter",Topic: Effective Teacher Instructor
767,52,The instructor was an effective teacher compared to other instructors.,8,"effective, teacher, instructor, teaching, matter",Topic: Effective Teacher Instructor
792,64,The workshop is effective/worth attending.,8,"effective, teacher, instructor, teaching, matter",Topic: Effective Teacher Instructor
819,105,The course was organized and effective for learning the subject matter.,8,"effective, teacher, instructor, teaching, matter",Topic: Effective Teacher Instructor
971,521,The instructor presented the subject matter for this course clearly by using effective teaching techniques,8,"effective, teacher, instructor, teaching, matter",Topic: Effective Teacher Instructor
975,521,The instructor was an effective teacher compared to other instructors,8,"effective, teacher, instructor, teaching, matter",Topic: Effective Teacher Instructor
1007,523,The activities of this study abroad experience were effective in teaching the subject matter,8,"effective, teacher, instructor, teaching, matter",Topic: Effective Teacher Instructor
1055,701,The teaching in this course was effective.,8,"effective, teacher, instructor, teaching, matter",Topic: Effective Teacher Instructor
1164,709,The clinical faculty provided effective teaching during this clerkship.,8,"effective, teacher, instructor, teaching, matter",Topic: Effective Teacher Instructor
12,1,The amount of material covered was appropriate,9,"covered, appropriate, depth, breadth, class",Topic: Covered Appropriate Depth
212,7,The amount of material covered was appropriate for the allotted time.,9,"covered, appropriate, depth, breadth, class",Topic: Covered Appropriate Depth
808,70,The balance of time spent on in-class versus out-of-class work was appropriate for the breadth and depth of material covered.,9,"covered, appropriate, depth, breadth, class",Topic: Covered Appropriate Depth
814,70,The workload for this course was appropriate for the breadth and depth of material covered.,9,"covered, appropriate, depth, breadth, class",Topic: Covered Appropriate Depth
1333,718,The workload balance (in-class and out-of-class) for this course was appropriate for the breadth and depth of the material covered.,9,"covered, appropriate, depth, breadth, class",Topic: Covered Appropriate Depth
1439,722,"Workload balance, (in-class and out-of-class for this course) was appropriate for the breadth and depth of the material covered.",9,"covered, appropriate, depth, breadth, class",Topic: Covered Appropriate Depth
1483,724,"Workload balance, (in-class and out-of-class) for this course was appropriate for the breadth and depth of the material covered.",9,"covered, appropriate, depth, breadth, class",Topic: Covered Appropriate Depth
1485,725," Workload balance, (in-class and out-of-class) for this course was appropriate for the breadth and depth of the material covered.",9,"covered, appropriate, depth, breadth, class",Topic: Covered Appropriate Depth
111,4, Course content addressed issues of diversity,10,"member, faculty, addressed, diversity, respects",Topic: Member Faculty Addressed
289,10,Course content addressed issues of diversity.,10,"member, faculty, addressed, diversity, respects",Topic: Member Faculty Addressed
1250,714,Any other comments about this faculty member that have not been addressed elsewhere.,10,"member, faculty, addressed, diversity, respects",Topic: Member Faculty Addressed
1257,714,This faculty member respects diversity.,10,"member, faculty, addressed, diversity, respects",Topic: Member Faculty Addressed
491,19,The course procedures and expectations were clearly communicated.,11,"expectations, clearly, defined, student, performance",Topic: Expectations Clearly Defined
558,22,The grading was clearly defined from the beginning of the course.,11,"expectations, clearly, defined, student, performance",Topic: Expectations Clearly Defined
643,35,The instructor clearly communicated course expectations.,11,"expectations, clearly, defined, student, performance",Topic: Expectations Clearly Defined
797,70,Expectations for student performance in the course were clearly defined.,11,"expectations, clearly, defined, student, performance",Topic: Expectations Clearly Defined
1320,718,"Expectations for student performance in the course were clearly defined (e.g., grading components, student behaviors, attendance).",11,"expectations, clearly, defined, student, performance",Topic: Expectations Clearly Defined
1432,722,"The expectations for student performance were clearly defined (e.g., grading components, student behaviors, attendance).",11,"expectations, clearly, defined, student, performance",Topic: Expectations Clearly Defined
23,1,The overall quality of this course is,12,"quality, overall, course, clerkship, weather",Topic: Quality Overall Course
55,2, The overall quality of this course is,12,"quality, overall, course, clerkship, weather",Topic: Quality Overall Course
588,24,The overall quality of this course is:,12,"quality, overall, course, clerkship, weather",Topic: Quality Overall Course
1246,713,The overall quality of this clerkship is,12,"quality, overall, course, clerkship, weather",Topic: Quality Overall Course
1282,716,The overall quality of this (clerkship) course is,12,"quality, overall, course, clerkship, weather",Topic: Quality Overall Course
802,70,Please list suggestions for other ways to help facilitate student learning in this course. ,13,"help, suggestions, ways, facilitate, list",Topic: Help Suggestions Ways
1159,709,Please list suggestions for other ways to help facilitate student learning in this clerkship.,13,"help, suggestions, ways, facilitate, list",Topic: Help Suggestions Ways
1219,712,Please list suggestions for other ways to help facilitate student learning in LIC (as a whole).,13,"help, suggestions, ways, facilitate, list",Topic: Help Suggestions Ways
1253,714,Please list suggestions on how this faculty member could help facilitate student learning.,13,"help, suggestions, ways, facilitate, list",Topic: Help Suggestions Ways
1323,718,Please list suggestions for other ways to help facilitate student learning in this course.,13,"help, suggestions, ways, facilitate, list",Topic: Help Suggestions Ways
2,1,Course Objectives were clearly indicated in the syllabus or somewhere online,14,"clearly, objectives, stated, provided, course",Topic: Clearly Objectives Stated
234,8,The expectations for work in this course were clearly stated.,14,"clearly, objectives, stated, provided, course",Topic: Clearly Objectives Stated
741,46,Course objectives were clearly outlined and explained.,14,"clearly, objectives, stated, provided, course",Topic: Clearly Objectives Stated
1149,709, The student mistreatment policy and procedures for reporting student mistreatment were provided and clearly outlined.,14,"clearly, objectives, stated, provided, course",Topic: Clearly Objectives Stated
1163,709,The clinical duty hours policy and procedures for reporting violations was provided and clearly outlined.,14,"clearly, objectives, stated, provided, course",Topic: Clearly Objectives Stated
1165,709,The objectives of this clerkship were provided and clearly stated.,14,"clearly, objectives, stated, provided, course",Topic: Clearly Objectives Stated
1221,712,The clinical duty hours policy and procedures for reporting violations were provided and clearly outlined.,14,"clearly, objectives, stated, provided, course",Topic: Clearly Objectives Stated
1318,718,Course objectives were provided and clearly stated.,14,"clearly, objectives, stated, provided, course",Topic: Clearly Objectives Stated
1433,722,The objectives of this course were provided and clearly stated.,14,"clearly, objectives, stated, provided, course",Topic: Clearly Objectives Stated
1228,712,"There are disconnects between what I am taught about professional behaviors/attitudes and what I see demonstrated by the LIC director, academic half-day director, and TJFFCOM staff.",15,"disconnects, attitudes, demonstrated, behaviors, professional",Topic: Disconnects Attitudes Demonstrated
1248,713,There are disconnects between what I am taught about professional behaviors/attitudes and what I see demonstrated by clerkship directors and TJFFCOM staff.,15,"disconnects, attitudes, demonstrated, behaviors, professional",Topic: Disconnects Attitudes Demonstrated
1249,713,There are disconnects between what I am taught about professional behaviors/attitudes and what I see demonstrated by preceptors and residents.,15,"disconnects, attitudes, demonstrated, behaviors, professional",Topic: Disconnects Attitudes Demonstrated
1255,714,There are disconnects between what I am taught about professional behaviors/attitudes and what I see demonstrated by this faculty member.,15,"disconnects, attitudes, demonstrated, behaviors, professional",Topic: Disconnects Attitudes Demonstrated
1334,718,There are disconnects between what I am taught about professional behaviors/attitudes and what I see demonstrated by the course director(s) and TJFFCOM staff.,15,"disconnects, attitudes, demonstrated, behaviors, professional",Topic: Disconnects Attitudes Demonstrated
1546,728,There are disconnects between what I am taught about professional behaviors/attitudes and what I see demonstrated by faculty.,15,"disconnects, attitudes, demonstrated, behaviors, professional",Topic: Disconnects Attitudes Demonstrated
1547,728,There are disconnects between what I am taught about professional behaviors/attitudes and what I see demonstrated by preceptors.,15,"disconnects, attitudes, demonstrated, behaviors, professional",Topic: Disconnects Attitudes Demonstrated
75,3," In this course, I expect to receive a grade of",16,"expect, grade, receive, final, course",Topic: Expect Grade Receive
144,5,"In this course, I expect to receive a grade of:",16,"expect, grade, receive, final, course",Topic: Expect Grade Receive
209,7,Final grade you expect to receive in this course is:,16,"expect, grade, receive, final, course",Topic: Expect Grade Receive
225,8,Final Grade I expect to receive in this course is:,16,"expect, grade, receive, final, course",Topic: Expect Grade Receive
392,14,The grade that I expect to receive in this course is:,16,"expect, grade, receive, final, course",Topic: Expect Grade Receive
472,18,What grade do you expect in this course?,16,"expect, grade, receive, final, course",Topic: Expect Grade Receive
11,1,My current classification is:,17,"classification, current, weather, ways, way",Topic: Classification Current Weather
43,2, My current classification is:,17,"classification, current, weather, ways, way",Topic: Classification Current Weather
260,8,What is your classification?,17,"classification, current, weather, ways, way",Topic: Classification Current Weather
261,9,Classification:,17,"classification, current, weather, ways, way",Topic: Classification Current Weather
330,12,Classification,17,"classification, current, weather, ways, way",Topic: Classification Current Weather
366,13,My classification is:,17,"classification, current, weather, ways, way",Topic: Classification Current Weather
206,6,Your major department is...,18,"major, college, undergraduate, graduate, student",Topic: Major College Undergraduate
230,8,Is this a course in your major?,18,"major, college, undergraduate, graduate, student",Topic: Major College Undergraduate
268,9,My major is in:,18,"major, college, undergraduate, graduate, student",Topic: Major College Undergraduate
306,10,What are the major strengths of the instructor?,18,"major, college, undergraduate, graduate, student",Topic: Major College Undergraduate
345,12,Student Major (Graduate),18,"major, college, undergraduate, graduate, student",Topic: Major College Undergraduate
346,12,Student Major (Undergraduate),18,"major, college, undergraduate, graduate, student",Topic: Major College Undergraduate
355,13,College of your major is:,18,"major, college, undergraduate, graduate, student",Topic: Major College Undergraduate
476,18,Your major:,18,"major, college, undergraduate, graduate, student",Topic: Major College Undergraduate
1328,718,The course instructors emphasized the relevance of the course content as a foundation for future learning.,19,"relevance, future, emphasized, foundation, content",Topic: Relevance Future Emphasized
1478,724,The interprofessional team leaders emphasized the relevance of the course content as a foundation for future learning.,19,"relevance, future, emphasized, foundation, content",Topic: Relevance Future Emphasized
32,1,"When I was connecting from off campus, the typical connection was",20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
33,1,"When I was connecting on campus, I was typically connected at the",20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
63,2," When I was connecting from off campus, the typical connection was",20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
64,2," When I was connecting on campus, I was typically connected at the",20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
82,3, The instructor gave assignments that were useful for learning the subject matter,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
110,4, Course assignments were useful for learning the subject matter,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
142,5,I feel this class was important and valuable to my education.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
158,5,The instructor fostered a good environment for learning and exploration.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
170,5,The projects and assignments in this course provided valuable learning experiences.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
176,5,What are the overall aspects of this learning experience that you think you will remember and value most from this course?,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
185,6,Sex,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
188,6,The instructor gave assignments that were useful for learning the subject matter.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
241,8,"The instructor used instructional support materials (overheads, computer assisted presentation, videos, handouts, internet, board, etc.) to assist in the learning process.",20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
247,8,The lab is equipped with the necessary tools for me to accomplish the learning objectives.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
248,8,The lab manual and/or handouts helped to provide guidance in completing the assigned task.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
267,9,In what range does your current GPA fall?,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
285,9,"What, specifically, were the strengths of the class?",20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
288,10,Course assignments were useful for learning the subject matter.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
291,10,Texts and materials in this course were useful.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
309,11,Cohort:,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
311,11,Foundation module assignments were useful for learning the subject matter.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
314,11,Texts and materials in this foundation module were useful.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
335,12,Gender,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
343,12,Overall GPA,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
360,13,Gender:,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
379,14,"Additional materials for this class (handouts, readings, web information) were helpful",20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
388,14,My approximate overall GPA is:,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
408,15,Experiments illustrated key concepts.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
409,15,Experiments worked,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
411,15,I read the lab manual <i>before</i> coming to the lab,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
412,15,Laboratory techniques were adequately illustrated.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
414,15,"The expectations of this class (in terms of lab reports, time spent outside of class and difficulty of experiments) were:",20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
419,15,The instructor's presentations clearly defined relevant goals and concepts.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
420,15,The lab manual was appropriate in terms of organization and content.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
421,15,The laboratory was adequately prepared for performing the experiments,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
441,17,"The instructor was knowledgeable about the experiments, including laboratory techniques and the theories behind the experiments.",20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
482,19,How many times was your class canceled (other than for bad weather)?,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
486,19,I found the visiting the Geoscience Learning Center to be helpful,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
513,20,The instructor is willing to help students outside of class time.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
529,21,I found the visiting the Geoscience Learning Center to be helpful.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
536,21,The assistant was present during class.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
555,22,The assigned book was very helpful.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
582,24,The approach in this class stressed:,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
657,35,Time spent in the Simulated Learning Lab helped me to achieve my learning goals.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
665,43,I covered an adequate breadth of repertoire during the semester.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
677,43,The instructor helps me with my ensemble music as well as solo music.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
680,43,The instructor presents helpful ideas for practice methods.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
684,43,The instructor uses lesson time efficiently.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
689,43,The repertoire is of high musical quality.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
706,44,Reasonable demands are made on my time for extra rehearsals.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
707,44,Rehearsals are conducted efficiently.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
709,44,The conductor accurately identifies and rehearses problematic places in the music.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
710,44,The conductor encourages critical thinking.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
711,44,The conductor has good knowledge of the repertoire & of performance practice.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
712,44,The conductor makes positive & helpful comments during rehearsal.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
713,44,The conductor shows interest in the reputation of the organization as representing the Moores School of Music.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
714,44,The conductor stresses musical concepts and not only rote learning of the music.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
723,44,The musical quality of the repertoire covered is generally high.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
747,46,Work assigned was a useful tool for learning the material covered.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
777,64,I am overall satisfied with the workshop.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
778,64,"I feel as though I will receive a grade of a ""B"" or higher in the lecture associated with this workshop.",20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
782,64,The content of the workshop directly relates to the lecture.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
783,64,The facilitator is always on time.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
786,64,The facilitator never intimidates or embarrasses students.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
788,64,The facilitator retaught the concepts effectively.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
791,64,The workshop allows time for group/partner interaction.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
793,64,The workshop is well structured.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
841,108,The instructor demonstrated a commitment to student learning.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
843,108,The instructor effectively engaged students in the learning process.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
896,207,"Based on what I have seen in this class, I believe the use of multiple instructors created an effective learning environment.",20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
915,222,I found visiting the Physics Learning Center to be helpful.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
918,222,I read the Laboratory Manual and watched the videos before  the class at all times.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
920,222,My TA was always on time for the class.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
929,222,"The TA was knowledgeable about the experiments, including laboratory techniques and the theories behind the experiments.",20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
931,222,The TA's presentations clearly defined relevant goals and concepts.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
932,222,The TAs at Physics Learning Center were able to help me with all my questions.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
1169,709,The sessions within the academic half-day helped facilitate my clinical education.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
1316,718,Active learning sessions facilitated my learning.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
1329,718,The course materials and assignments facilitated my learning.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
1468,724,"Active learning sessions, as part of an interprofessional team, facilitated my learning.",20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
1475,724,The course materials and community-based experiential opportunities facilitated my learning.,20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
1620,992,"Overall, the discussion class sessions were worthwhile.",20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
1629,992,"The instructor provided helpful and adequate written feedback on assignments, including written comments on grammar, style, and content.",20,"learning, facilitated, sessions, assignments, materials",Topic: Learning Facilitated Sessions
